"meter" "measure" "meanVal" "stdVal"
"1" "fBodyAcc" "mean" -0.608698783076838 0.426345551378849
"2" "fBodyAcc" "std" -0.583129098570689 0.444857451456792
"3" "fBodyAccJerk" "mean" -0.676272517249748 0.371858711182016
"4" "fBodyAccJerk" "std" -0.68264434033044 0.376721813829426
"5" "fBodyAccMag" "mean" -0.585541641487584 0.445596701356882
"6" "fBodyAccMag" "std" -0.658604999651582 0.356932933850273
"7" "fBodyBodyAccJerkMag" "mean" -0.620582870853933 0.424530940842788
"8" "fBodyBodyAccJerkMag" "std" -0.639759184034438 0.406154109140822
"9" "fBodyBodyGyroJerkMag" "mean" -0.77960835402738 0.267848966911636
"10" "fBodyBodyGyroJerkMag" "std" -0.79209130907907 0.259539013979567
"11" "fBodyBodyGyroMag" "mean" -0.697647768474625 0.323803905281305
"12" "fBodyBodyGyroMag" "std" -0.700008043955913 0.31126854996577
"13" "fBodyGyro" "mean" -0.674191472946795 0.35747391869443
"14" "fBodyGyro" "std" -0.701319744924799 0.333199294370269
"15" "tBodyAcc" "mean" 0.0492189455659737 0.172941488040887
"16" "tBodyAcc" "std" -0.576965311716622 0.451905150816527
"17" "tBodyAccJerk" "mean" 0.027179734567016 0.169197835268463
"18" "tBodyAccJerk" "std" -0.670066696709502 0.385504790943599
"19" "tBodyAccJerkMag" "mean" -0.649907525563542 0.389696604809693
"20" "tBodyAccJerkMag" "std" -0.628047322919266 0.417513133717661
"21" "tBodyAccMag" "mean" -0.548110279281525 0.467092412043021
"22" "tBodyAccMag" "std" -0.590387645507178 0.430577028866886
"23" "tBodyGyro" "mean" -0.00488207820833276 0.16670652043498
"24" "tBodyGyro" "std" -0.685683345083583 0.346459193316719
"25" "tBodyGyroJerk" "mean" -0.0642827969933519 0.126775665468457
"26" "tBodyGyroJerk" "std" -0.752565959424024 0.294213485400497
"27" "tBodyGyroJerkMag" "mean" -0.762356686304544 0.276559909887689
"28" "tBodyGyroJerkMag" "std" -0.778142546634194 0.271305915073759
"29" "tBodyGyroMag" "mean" -0.605040519909262 0.399849961632538
"30" "tBodyGyroMag" "std" -0.66243852141791 0.348689613176289
"31" "tGravityAcc" "mean" 0.254448110012999 0.510537277990332
"32" "tGravityAcc" "std" -0.95201385071079 0.095425826869185
"33" "tGravityAccMag" "mean" -0.548333061884294 0.467140409259283
"34" "tGravityAccMag" "std" -0.592063171474133 0.428322552552782
